text,label
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
I love this product it is amazing,positive
Worst experience ever very bad service,negative
The movie was fantastic and enjoyable,positive
I hate this item waste of money,negative
Excellent quality and great support,positive
Terrible experience not recommended,negative
Very happy with the service,positive
Extremely disappointed and unhappy,negative
Best purchase I have made,positive
Not good very poor performance,negative
